id,w_n
14544,0.3657609095138004
14545,0.3108732438713839
14546,0.21496337279742295
14547,0.23785798781102258
14548,0.23704318229321572
14549,0.33247441771689623
14550,0.1862685835756358
14551,0.19314278925346284
14552,0.19465928134443417
14553,0.267915047954525
14554,0.2169857503548754
14555,0.34978573644340083
14556,0.3048121738873967
14557,0.2947164447533227
14558,0.2843112836777371
14559,0.24230069747415328
14560,0.28236920972591034
14561,0.2720944295425231
14562,0.2570242114738833
14563,0.37512934786197805
14564,0.18932854674469105
14565,0.23940995383192334
14566,0.17813003635048735
14567,0.3947151916763303
14568,0.1437201165257185
14569,0.2588422810431358
14570,0.34154251554244514
14571,0.22973055970271553
14572,0.29612812590721577
14573,0.4031513522145554
14574,0.344895094838438
14575,0.3699838542293439
14576,0.35847198325845425
14577,0.21598948790793482
14578,0.21379229825247104
14579,0.3969280163470782
14580,0.29482873021410283
14581,0.31468621202442704
14582,0.2899732792319691
14583,0.18666767917317206
14584,0.21436815611168414
14585,0.30135453343329327
14586,0.3227320569933868
14587,0.34712456318299706
14588,0.19711936132087288
14589,0.333411877353743
14590,0.40533439956190537
14591,0.38479051512406004
14592,0.266401865415041
14593,0.31338358328653915
14594,0.36882807862526673
14595,0.16840084617354983
14596,0.35219078437310297
14597,0.1917174729394479
14598,0.25619490196741196
14599,0.30431277254312494
14600,0.17617776024358298
14601,0.19310077778460857
14602,0.21958926985816518
14603,0.40840897720312136
14604,0.3624873042479313
14605,0.25626862617808566
14606,0.24768800995867726
14607,0.16771908878956654
14608,0.2268930752463444
14609,0.368682592622648
14610,0.2600832295570037
14611,0.35391546108524624
14612,0.2951099487637775
14613,0.33548671595008006
14614,0.291720952461845
14615,0.3078005310265033
14616,0.1854715392232353
14617,0.320830659991173
14618,0.34203709554338707
14619,0.3008085610393755
14620,0.25328898451305754
14621,0.1749770108284159
14622,0.22825027012560617
14623,0.2685379740986923
14624,0.20885695296758253
14625,0.1981422142589308
14626,0.4181094726095616
14627,0.3750876787064394
14628,0.19697813709707895
14629,0.3369877026949035
14630,0.22231937938850715
14631,0.2342677524590031
14632,0.3389950285389314
14633,0.3975363156091917
14634,0.35509719238828413
14635,0.2556959145266736
14636,0.2838650401911062
14637,0.21406716381919322
14638,0.29437165480798105
14639,0.1651234097572865
14640,0.22790128651354916
14641,0.18618062837910396
14642,0.3351035803106667
14643,0.23093726330815323
