rank_v_norm,rank_a_0,rank_w_s_eff,rank_t_0
480,495,475,12
222,411,274,253
4,55,45,284
254,385,469,140
407,344,462,415
220,404,251,49
192,165,333,251
464,434,345,47
2,44,0,307
235,392,396,37
375,364,210,66
244,386,479,166
0,430,241,10
312,252,284,327
338,489,334,51
437,197,183,257
269,465,433,150
69,403,290,65
318,452,422,372
211,54,1,419
111,37,63,166
311,374,321,221
401,467,493,50
59,489,78,19
280,305,170,294
394,315,3,74
67,79,243,429
354,227,264,176
465,278,469,436
302,198,70,401
146,279,127,201
325,386,492,450
485,68,91,442
408,236,190,341
456,444,495,185
74,273,104,190
111,72,180,475
477,222,56,353
114,455,431,55
352,471,427,88
219,108,92,271
252,453,477,133
213,219,418,285
19,396,270,214
451,257,58,153
277,367,403,149
186,138,152,302
184,120,136,355
496,449,490,44
487,375,288,164
263,399,48,108
87,281,263,315
347,64,212,486
62,492,414,1
179,344,219,61
3,231,41,368
354,422,162,20
113,331,429,360
332,349,485,217
362,287,258,162
40,114,3,232
111,258,116,298
70,475,311,21
464,483,49,99
80,475,455,33
65,119,250,397
168,105,72,332
95,373,354,65
451,209,20,81
480,397,461,127
445,212,454,453
153,37,161,394
223,46,120,414
84,470,331,13
41,130,103,111
343,417,184,180
413,494,492,3
428,317,376,148
344,307,212,159
26,231,164,126
71,435,82,16
351,451,62,126
480,258,459,293
224,246,7,342
256,364,375,132
36,10,30,487
414,33,165,434
14,230,276,138
417,369,91,231
478,314,493,253
405,413,483,191
20,414,228,33
191,230,332,353
385,16,70,369
387,387,138,238
470,257,394,350
287,265,339,337
441,221,133,250
150,400,269,4
201,17,285,483
488,342,28,106
319,276,459,317
236,332,251,294
489,498,459,8
352,274,441,238
263,255,251,233
423,59,51,364
186,51,130,366
85,9,11,475
483,435,474,148
276,73,151,461
104,125,154,397
23,51,204,298
460,410,394,486
373,0,445,434
425,6,6,473
334,449,258,105
307,150,168,426
305,305,188,52
50,128,30,274
445,189,139,437
445,429,454,88
311,34,273,483
445,49,184,485
155,378,413,80
149,371,185,87
82,26,127,312
464,304,492,320
62,149,62,333
284,278,450,94
164,58,11,346
456,395,359,335
4,365,300,137
314,105,53,377
410,399,96,206
11,52,127,304
239,484,458,44
55,71,68,448
314,340,193,249
282,227,360,252
248,82,122,382
146,252,156,53
265,241,4,29
172,73,145,485
473,340,474,344
96,312,227,66
5,0,51,500
412,400,325,238
436,352,436,306
326,76,264,376
140,20,12,444
200,340,475,258
344,289,246,160
394,280,161,213
229,323,212,142
200,493,279,8
277,218,248,368
248,435,382,319
452,147,361,442
500,72,381,478
210,200,221,323
237,488,489,97
57,406,491,51
39,201,355,350
204,390,448,370
253,86,199,453
401,84,128,377
332,210,41,275
470,157,299,433
487,110,5,491
228,226,123,326
449,267,4,195
312,386,47,69
459,490,346,6
293,35,291,447
387,327,416,297
387,300,313,123
421,489,492,25
29,402,320,86
497,210,146,468
310,188,371,375
323,472,485,13
135,83,10,478
430,378,202,117
85,257,83,51
443,385,411,197
343,498,481,8
159,242,170,44
141,434,24,12
372,79,9,399
218,382,370,275
13,235,275,200
377,454,401,105
11,96,76,403
130,250,344,314
471,470,473,173
135,339,172,75
481,182,83,374
332,281,312,241
193,401,325,26
248,72,393,478
104,374,41,98
101,145,363,355
45,307,251,185
309,118,159,383
23,106,19,227
497,495,460,111
68,217,128,321
406,471,468,54
388,194,6,123
221,237,253,224
206,256,281,158
68,228,98,380
411,98,8,343
13,191,41,58
328,465,343,8
199,92,117,270
220,324,434,208
235,341,333,177
282,31,174,475
371,344,481,87
130,248,204,273
381,387,457,145
274,491,404,32
186,271,280,213
165,363,229,149
362,464,459,54
260,366,217,305
142,141,67,393
421,256,57,129
84,467,440,6
381,423,360,95
47,422,241,68
146,181,213,337
73,96,83,384
101,444,488,67
140,476,416,65
187,207,285,208
333,495,327,18
121,433,323,98
204,350,418,186
75,22,244,329
44,91,15,318
211,219,305,314
429,12,13,449
55,350,365,154
493,262,449,378
485,250,93,352
480,461,487,108
484,478,478,82
275,127,292,413
358,446,273,64
377,481,469,10
339,406,496,145
252,367,408,54
31,267,178,79
10,302,201,118
227,379,454,157
391,35,12,462
330,61,239,409
382,278,145,228
387,186,486,429
411,375,172,91
494,71,19,400
117,454,352,62
23,27,3,450
352,264,165,153
162,170,74,272
167,145,20,204
248,408,469,260
372,425,422,77
264,284,479,360
458,329,407,175
217,361,250,146
138,453,394,252
32,47,180,358
317,317,168,89
368,427,434,50
235,102,397,275
367,407,292,292
256,447,493,56
465,497,485,0
195,141,151,261
271,205,5,378
75,480,404,17
322,346,418,200
240,352,160,240
460,282,52,290
348,91,221,182
130,115,199,373
234,225,140,256
64,195,90,131
49,496,451,4
440,131,287,309
257,310,33,142
73,40,8,456
157,362,344,31
488,7,56,425
301,372,254,111
423,456,305,44
