stat_name,pct_covered_90,pct_covered_95
prop_gamble_overall,64.44444444444444,66.66666666666667
mean_rt_overall,26.666666666666668,33.333333333333336
rt_q10_overall,93.33333333333333,97.77777777777777
rt_q50_overall,28.88888888888889,46.666666666666664
rt_q90_overall,17.77777777777778,33.333333333333336
rt_std_overall,8.88888888888889,15.555555555555555
prop_gamble_Gain_NTC,91.11111111111111,93.33333333333333
mean_rt_Gain_NTC,8.88888888888889,24.444444444444443
rt_std_Gain_NTC,86.66666666666667,93.33333333333333
rt_q10_Gain_NTC,100.0,100.0
rt_q50_Gain_NTC,53.333333333333336,77.77777777777777
rt_q90_Gain_NTC,0.0,0.0
rt_hist_bin0_Gain_NTC,100.0,100.0
rt_hist_bin1_Gain_NTC,100.0,100.0
rt_hist_bin2_Gain_NTC,93.33333333333333,95.55555555555556
rt_hist_bin3_Gain_NTC,84.44444444444444,88.88888888888889
rt_hist_bin4_Gain_NTC,93.33333333333333,95.55555555555556
prop_gamble_Gain_TC,100.0,100.0
mean_rt_Gain_TC,0.0,0.0
rt_std_Gain_TC,100.0,100.0
rt_q10_Gain_TC,66.66666666666667,91.11111111111111
rt_q50_Gain_TC,0.0,0.0
rt_q90_Gain_TC,0.0,0.0
rt_hist_bin0_Gain_TC,95.55555555555556,97.77777777777777
rt_hist_bin1_Gain_TC,80.0,84.44444444444444
rt_hist_bin2_Gain_TC,2.2222222222222223,6.666666666666667
rt_hist_bin3_Gain_TC,6.666666666666667,8.88888888888889
rt_hist_bin4_Gain_TC,0.0,0.0
prop_gamble_Loss_NTC,4.444444444444445,8.88888888888889
mean_rt_Loss_NTC,80.0,86.66666666666667
rt_std_Loss_NTC,82.22222222222223,93.33333333333333
rt_q10_Loss_NTC,77.77777777777777,84.44444444444444
rt_q50_Loss_NTC,80.0,84.44444444444444
rt_q90_Loss_NTC,91.11111111111111,93.33333333333333
rt_hist_bin0_Loss_NTC,100.0,100.0
rt_hist_bin1_Loss_NTC,100.0,100.0
rt_hist_bin2_Loss_NTC,100.0,100.0
rt_hist_bin3_Loss_NTC,97.77777777777777,100.0
rt_hist_bin4_Loss_NTC,100.0,100.0
prop_gamble_Loss_TC,6.666666666666667,15.555555555555555
mean_rt_Loss_TC,40.0,66.66666666666667
rt_std_Loss_TC,100.0,100.0
rt_q10_Loss_TC,93.33333333333333,97.77777777777777
rt_q50_Loss_TC,53.333333333333336,80.0
rt_q90_Loss_TC,0.0,2.2222222222222223
rt_hist_bin0_Loss_TC,97.77777777777777,97.77777777777777
rt_hist_bin1_Loss_TC,91.11111111111111,93.33333333333333
rt_hist_bin2_Loss_TC,33.333333333333336,48.888888888888886
rt_hist_bin3_Loss_TC,26.666666666666668,40.0
rt_hist_bin4_Loss_TC,20.0,28.88888888888889
framing_effect_ntc,24.444444444444443,40.0
framing_effect_tc,73.33333333333333,77.77777777777777
rt_framing_bias_ntc,0.0,0.0
rt_framing_bias_tc,48.888888888888886,62.22222222222222
