w_n_eff_rank,a_rank,t_rank,w_s_rank,sbc_iteration
671,868,290,943,1
23,779,85,300,2
484,772,116,829,3
556,646,330,836,4
259,585,150,10,5
228,299,527,252,6
391,270,735,227,7
780,696,481,341,8
38,742,134,338,9
922,10,990,64,10
731,880,225,741,11
735,20,901,644,12
960,55,758,392,13
751,204,915,674,14
466,625,814,658,15
833,92,975,620,16
183,994,22,784,17
74,968,51,599,18
36,479,543,600,19
314,972,24,903,20
899,63,961,937,21
621,550,688,934,22
610,154,450,475,23
762,246,930,562,24
263,647,178,693,25
114,713,263,453,26
797,93,899,121,27
194,672,722,471,28
756,151,878,132,29
535,904,25,675,30
414,497,109,676,31
598,160,887,443,32
240,747,94,481,33
673,799,373,289,34
358,603,123,244,35
753,306,638,996,36
206,406,725,125,37
677,619,534,969,38
96,664,49,115,39
412,620,950,657,40
853,9,943,79,41
372,306,512,384,42
524,304,896,888,43
222,704,163,363,44
654,124,735,407,45
967,30,835,343,46
716,985,177,702,47
326,301,590,1,48
294,529,334,215,49
477,669,440,333,50
956,25,731,311,51
65,995,89,730,52
100,919,71,309,53
0,758,136,0,54
412,911,311,718,55
435,452,497,585,56
177,974,29,998,57
597,379,648,422,58
252,270,318,67,59
136,732,397,983,60
560,256,188,100,61
310,912,61,763,62
859,597,344,367,63
589,711,303,969,64
228,498,765,150,65
1000,2,996,81,66
906,831,544,745,67
885,129,789,615,68
278,896,144,835,69
74,902,101,318,70
95,814,33,876,71
11,972,63,315,72
887,164,829,623,73
346,896,53,336,74
716,165,824,562,75
821,204,920,792,76
847,248,346,365,77
607,120,723,182,78
710,600,621,931,79
431,915,63,926,80
848,422,615,723,81
25,961,163,329,82
174,766,291,372,83
281,957,52,677,84
991,714,126,718,85
309,462,35,215,86
132,352,793,683,87
566,54,658,247,88
264,635,362,102,89
424,469,559,13,90
809,407,783,817,91
4,777,65,139,92
335,556,395,432,93
702,150,743,347,94
606,332,428,127,95
487,282,441,700,96
131,750,50,4,97
30,658,56,202,98
703,97,897,293,99
986,19,997,688,100
